# Residuals   
# Time        	p             	Ux            	Uy            
0             	N/A	N/A
11.8184       	4.625466e-02	4.915710e-03	5.866713e-03
11.8411       	4.761765e-02	4.955799e-03	5.799143e-03
11.8638       	4.723883e-02	4.952582e-03	5.747134e-03
11.8865       	4.788359e-02	4.958699e-03	5.815097e-03
11.9092       	3.912325e-02	4.980388e-03	5.629445e-03
11.9319       	3.813744e-02	4.934754e-03	5.605102e-03
11.9546       	4.147724e-02	4.878867e-03	5.678526e-03
11.9773       	3.797181e-02	4.867556e-03	5.518875e-03
12            	4.163191e-02	4.854323e-03	5.428412e-03
12.025        	4.651697e-02	5.335617e-03	5.863696e-03
12.0514       	3.676512e-02	5.481298e-03	6.149554e-03
12.0778       	5.339209e-02	5.379115e-03	6.300190e-03
12.1026       	5.292597e-02	5.059804e-03	6.119310e-03
12.1275       	3.894442e-02	5.091995e-03	5.689415e-03
12.1523       	3.324714e-02	4.900158e-03	5.554347e-03
12.1771       	2.993246e-02	4.822777e-03	5.495504e-03
12.202        	3.390423e-02	4.781435e-03	5.503955e-03
12.2268       	3.159904e-02	4.696579e-03	5.539763e-03
12.2516       	2.953293e-02	4.622461e-03	5.429535e-03
12.2765       	3.377947e-02	4.626221e-03	5.389236e-03
12.3013       	3.562788e-02	4.557217e-03	5.312538e-03
12.3261       	3.091675e-02	4.467959e-03	5.185719e-03
12.351        	2.956839e-02	4.447169e-03	5.261786e-03
12.3758       	3.548765e-02	4.445094e-03	5.107916e-03
12.4007       	3.700898e-02	4.440246e-03	5.175686e-03
12.4255       	3.649256e-02	4.628010e-03	5.269247e-03
12.4503       	3.105863e-02	4.577418e-03	5.340903e-03
12.4752       	2.843937e-02	4.481814e-03	5.028274e-03
12.5          	3.689144e-02	4.414637e-03	5.363449e-03
12.525        	3.305917e-02	4.380182e-03	5.071910e-03
12.55         	3.201690e-02	4.301633e-03	5.094747e-03
12.575        	3.212931e-02	4.414282e-03	5.054019e-03
12.5986       	3.713753e-02	4.204923e-03	4.724586e-03
12.6222       	3.499633e-02	4.184617e-03	4.593022e-03
12.6458       	2.765140e-02	4.140186e-03	4.611739e-03
12.6694       	2.603103e-02	4.028206e-03	4.528574e-03
12.6931       	2.766639e-02	4.031667e-03	4.601033e-03
12.7167       	2.736708e-02	4.072180e-03	4.481654e-03
12.7403       	2.970173e-02	4.015238e-03	4.583436e-03
12.7639       	2.749141e-02	4.018297e-03	4.482849e-03
12.7875       	2.793663e-02	3.995066e-03	4.443430e-03
12.8111       	2.752217e-02	3.945323e-03	4.461656e-03
12.8347       	2.673638e-02	3.938525e-03	4.436717e-03
12.8583       	2.986003e-02	4.006671e-03	4.404434e-03
12.8819       	2.597005e-02	3.999601e-03	4.447354e-03
12.9056       	2.255897e-02	3.991513e-03	4.369500e-03
12.9292       	2.305401e-02	4.019017e-03	4.274120e-03
12.9528       	2.686106e-02	4.025077e-03	4.277827e-03
12.9764       	2.472479e-02	4.014209e-03	4.233930e-03
13            	2.335532e-02	3.999016e-03	4.096471e-03
13.0227       	2.993731e-02	3.802603e-03	4.098887e-03
13.0455       	2.849636e-02	3.855067e-03	4.147605e-03
13.0682       	2.527325e-02	3.791446e-03	4.087624e-03
13.0909       	2.915317e-02	3.767257e-03	4.177324e-03
13.1136       	2.622575e-02	3.748840e-03	4.125066e-03
13.1364       	2.307321e-02	3.702376e-03	4.065681e-03
13.1591       	2.255629e-02	3.695359e-03	4.016835e-03
13.1818       	2.254441e-02	3.672142e-03	3.871568e-03
13.2045       	2.355838e-02	3.638736e-03	3.832810e-03
13.2273       	2.394742e-02	3.626679e-03	3.872210e-03
13.25         	2.606552e-02	3.609023e-03	3.934395e-03
13.2727       	2.228772e-02	3.612525e-03	3.827935e-03
13.2955       	2.437017e-02	3.598795e-03	3.963091e-03
13.3182       	2.514894e-02	3.630120e-03	3.867059e-03
13.3409       	2.546265e-02	3.604859e-03	3.821745e-03
13.3636       	2.389874e-02	3.592774e-03	3.778884e-03
13.3864       	2.598785e-02	3.577201e-03	3.844806e-03
13.4091       	2.312792e-02	3.571129e-03	3.748985e-03
13.4318       	2.084271e-02	3.551444e-03	3.744081e-03
13.4545       	2.288264e-02	3.552785e-03	3.690017e-03
