# Residuals   
# Time        	p             	Ux            	Uy            
3.87626       	1.783080e-02	4.950321e-03	3.842623e-03
3.89394       	1.192023e-02	4.176695e-03	3.751772e-03
3.91162       	9.994974e-03	4.176071e-03	3.699862e-03
3.92929       	9.306929e-03	4.155100e-03	3.662920e-03
3.94697       	9.318342e-03	4.140527e-03	3.660157e-03
3.96465       	1.023468e-02	4.132341e-03	3.634081e-03
3.98232       	9.305538e-03	4.131325e-03	3.609824e-03
4             	9.851249e-03	4.113023e-03	3.590211e-03
4.01786       	9.405678e-03	4.141562e-03	3.577303e-03
4.03571       	9.921316e-03	4.067150e-03	3.598288e-03
4.05291       	1.275557e-02	3.961856e-03	3.579822e-03
4.07011       	9.705048e-03	4.146107e-03	3.387480e-03
4.0873        	9.398740e-03	3.910704e-03	3.380445e-03
4.10381       	1.254211e-02	3.742931e-03	3.346585e-03
4.12032       	1.071384e-02	3.935974e-03	3.225252e-03
4.13683       	1.000606e-02	3.711420e-03	3.203504e-03
4.15333       	8.951017e-03	3.703974e-03	3.162732e-03
4.16909       	1.326024e-02	3.514696e-03	3.156281e-03
4.18485       	1.036739e-02	3.728331e-03	3.001953e-03
4.20061       	9.335130e-03	3.497435e-03	2.993435e-03
4.21636       	8.877718e-03	3.487483e-03	2.965350e-03
4.23212       	8.653472e-03	3.475242e-03	2.939986e-03
4.247         	1.416201e-02	3.261714e-03	2.932572e-03
4.26189       	1.161509e-02	3.495225e-03	2.786651e-03
4.27677       	9.653552e-03	3.227951e-03	2.757863e-03
4.29165       	9.049684e-03	3.228979e-03	2.734694e-03
4.30653       	9.159190e-03	3.216109e-03	2.720214e-03
4.32141       	8.816738e-03	3.208810e-03	2.708084e-03
4.3363        	9.419931e-03	3.179512e-03	2.688608e-03
4.35118       	9.390492e-03	3.163855e-03	2.668500e-03
4.36606       	9.850437e-03	3.156765e-03	2.648978e-03
4.38094       	9.857202e-03	3.142766e-03	2.627217e-03
4.39417       	2.433993e-02	2.763734e-03	2.707874e-03
4.4074        	1.900758e-02	3.210789e-03	2.447513e-03
4.42063       	1.023329e-02	2.774923e-03	2.362527e-03
4.43386       	8.999958e-03	2.772439e-03	2.329052e-03
4.44709       	8.596481e-03	2.757421e-03	2.318981e-03
4.46031       	8.351686e-03	2.746641e-03	2.311143e-03
4.47354       	8.502236e-03	2.734905e-03	2.318532e-03
4.48677       	8.823405e-03	2.721544e-03	2.314535e-03
4.5           	8.783532e-03	2.715656e-03	2.308572e-03
4.51389       	1.079123e-02	2.840750e-03	2.434235e-03
4.52778       	1.169537e-02	2.693626e-03	2.474982e-03
4.54167       	8.868845e-03	2.809741e-03	2.454993e-03
4.55556       	9.495633e-03	2.794707e-03	2.456590e-03
4.56944       	9.688668e-03	2.779465e-03	2.460704e-03
4.58333       	9.233626e-03	2.763780e-03	2.468900e-03
4.59677       	1.324031e-02	2.680500e-03	2.444613e-03
4.61022       	1.075568e-02	2.795673e-03	2.458287e-03
4.62366       	1.067288e-02	2.715621e-03	2.474048e-03
4.6371        	9.951378e-03	2.715932e-03	2.512304e-03
4.65054       	8.921398e-03	2.714944e-03	2.541052e-03
4.66398       	9.678220e-03	2.714458e-03	2.570080e-03
4.67742       	9.907116e-03	2.721612e-03	2.587375e-03
4.69086       	9.252069e-03	2.713921e-03	2.603467e-03
4.7043        	9.940991e-03	2.716514e-03	2.615217e-03
4.71774       	1.007516e-02	2.721905e-03	2.644324e-03
4.73118       	9.377776e-03	2.723130e-03	2.682947e-03
4.74462       	1.065933e-02	2.730048e-03	2.708379e-03
4.75806       	9.771554e-03	2.751649e-03	2.743156e-03
4.77151       	9.890526e-03	2.763749e-03	2.780810e-03
4.7842        	1.781125e-02	2.621531e-03	2.748716e-03
4.79689       	1.328546e-02	2.790448e-03	2.790413e-03
4.80959       	1.504846e-02	2.682720e-03	2.759947e-03
4.82228       	1.081300e-02	2.714652e-03	2.777111e-03
4.83498       	1.067814e-02	2.674717e-03	2.779624e-03
4.84767       	1.092701e-02	2.654141e-03	2.820080e-03
4.86036       	1.163549e-02	2.660101e-03	2.884084e-03
4.87306       	1.130059e-02	2.694862e-03	2.960817e-03
4.88575       	1.168683e-02	2.740502e-03	3.025301e-03
4.89845       	1.021757e-02	2.789106e-03	3.084695e-03
4.91114       	1.066446e-02	2.841491e-03	3.125464e-03
4.92384       	9.933538e-03	2.883248e-03	3.193998e-03
4.93653       	9.838727e-03	2.933165e-03	3.257698e-03
4.94922       	1.062079e-02	2.986595e-03	3.343513e-03
4.96192       	1.046234e-02	3.030395e-03	3.398343e-03
4.97461       	1.034612e-02	3.080703e-03	3.427415e-03
4.98731       	1.132664e-02	3.135213e-03	3.462898e-03
5             	1.329957e-02	3.180195e-03	3.573860e-03
5.01316       	1.644903e-02	3.494190e-03	3.857142e-03
5.02632       	1.206746e-02	3.440026e-03	3.820367e-03
5.03947       	1.111895e-02	3.507425e-03	3.869626e-03
5.05263       	1.087690e-02	3.559698e-03	3.943118e-03
5.06579       	1.162202e-02	3.608703e-03	4.004849e-03
5.07895       	1.234965e-02	3.653950e-03	4.078921e-03
5.09211       	1.530001e-02	3.724395e-03	4.166574e-03
5.10526       	1.424596e-02	3.809134e-03	4.238019e-03
5.11842       	1.338529e-02	3.869858e-03	4.291238e-03
5.13158       	1.439820e-02	3.927314e-03	4.384347e-03
5.14474       	1.917819e-02	4.055170e-03	4.587361e-03
5.15789       	1.228490e-02	4.211117e-03	4.619845e-03
5.17105       	1.403653e-02	4.183390e-03	4.585408e-03
5.18421       	1.322438e-02	4.241293e-03	4.621834e-03
5.19737       	1.288204e-02	4.302389e-03	4.655684e-03
5.21053       	1.242268e-02	4.333758e-03	4.687810e-03
5.22368       	1.306714e-02	4.369132e-03	4.689447e-03
5.23684       	1.184442e-02	4.389772e-03	4.702212e-03
5.25069       	1.614826e-02	4.639883e-03	4.933028e-03
5.26454       	1.688238e-02	4.525869e-03	4.889486e-03
5.27839       	1.246058e-02	4.628514e-03	4.940740e-03
5.29224       	2.795042e-02	4.654334e-03	5.150222e-03
5.30609       	2.556041e-02	5.305597e-03	5.561640e-03
5.31994       	1.575703e-02	5.446910e-03	5.506065e-03
5.3338        	1.468492e-02	5.370767e-03	5.417441e-03
5.34765       	1.466614e-02	5.360472e-03	5.400292e-03
5.3615        	1.428291e-02	5.329240e-03	5.368524e-03
5.37535       	1.435161e-02	5.277789e-03	5.340098e-03
5.3892        	1.406529e-02	5.263693e-03	5.325412e-03
5.40305       	1.554823e-02	5.239667e-03	5.288104e-03
5.4169        	2.165859e-02	5.211776e-03	5.390096e-03
5.43075       	1.787025e-02	5.337094e-03	5.519289e-03
5.4446        	2.894041e-02	5.281205e-03	5.793384e-03
5.45845       	2.385288e-02	5.848070e-03	5.752415e-03
5.4723        	2.099545e-02	5.321335e-03	5.409456e-03
5.48615       	1.768743e-02	5.314104e-03	5.409682e-03
5.5           	1.834776e-02	5.476351e-03	5.502848e-03
5.51429       	1.837750e-02	5.796193e-03	5.698097e-03
5.52857       	1.873133e-02	5.806542e-03	5.705281e-03
5.54286       	1.635056e-02	5.926321e-03	5.774016e-03
5.55671       	3.394483e-02	5.768997e-03	6.022236e-03
5.57056       	3.801451e-02	6.486802e-03	6.181263e-03
5.58442       	1.996504e-02	6.325495e-03	5.936556e-03
5.59827       	2.031492e-02	6.217376e-03	5.823546e-03
5.61212       	2.017638e-02	6.243975e-03	5.794660e-03
5.62597       	1.747164e-02	6.268365e-03	5.763404e-03
5.63933       	3.381792e-02	6.125731e-03	5.886666e-03
5.65269       	2.813820e-02	6.885410e-03	6.125575e-03
5.66605       	2.610996e-02	6.376302e-03	5.740270e-03
5.67941       	2.156578e-02	6.368782e-03	5.731457e-03
5.69276       	1.857630e-02	6.309813e-03	5.675269e-03
5.70612       	1.884024e-02	6.245591e-03	5.630068e-03
5.71948       	2.395495e-02	6.249047e-03	5.629219e-03
5.73223       	4.018094e-02	6.155994e-03	5.709321e-03
5.74498       	3.015911e-02	6.490329e-03	5.674663e-03
5.75773       	2.075513e-02	6.215760e-03	5.507192e-03
5.77048       	1.705377e-02	6.147155e-03	5.433677e-03
5.78323       	1.659432e-02	6.032755e-03	5.369067e-03
5.79599       	1.566474e-02	5.975359e-03	5.272056e-03
5.80874       	2.266921e-02	5.926290e-03	5.262812e-03
5.82149       	1.967380e-02	6.096551e-03	5.347662e-03
5.83424       	1.725162e-02	5.859601e-03	5.201725e-03
5.84699       	2.042032e-02	5.757827e-03	5.100839e-03
5.85876       	3.344849e-02	5.393359e-03	4.970454e-03
5.87053       	2.940458e-02	5.773576e-03	4.955208e-03
5.8823        	2.232780e-02	5.620584e-03	4.873733e-03
5.89407       	2.615398e-02	5.625089e-03	4.934656e-03
5.90584       	2.567535e-02	5.830827e-03	5.014813e-03
5.9163        	2.970278e-02	5.158026e-03	4.579749e-03
5.92676       	2.618305e-02	5.351416e-03	4.428847e-03
5.93723       	1.859328e-02	4.994223e-03	4.174561e-03
5.94769       	1.692977e-02	4.935369e-03	4.092975e-03
5.95815       	1.689529e-02	4.953406e-03	4.047857e-03
5.96861       	2.297399e-02	5.004210e-03	4.060924e-03
5.97908       	4.618474e-02	5.258446e-03	4.550896e-03
5.98954       	3.005669e-02	5.871022e-03	4.607538e-03
6             	2.705163e-02	5.378379e-03	4.372457e-03
6.01042       	2.022399e-02	5.244462e-03	4.236536e-03
6.02083       	2.064097e-02	5.125722e-03	4.166362e-03
6.03103       	2.431799e-02	5.001961e-03	4.057973e-03
6.04122       	2.063868e-02	4.907356e-03	3.880771e-03
6.05142       	2.130332e-02	4.749023e-03	3.799866e-03
6.06161       	2.665192e-02	4.738920e-03	3.880569e-03
6.07181       	2.818347e-02	4.938623e-03	4.001425e-03
6.082         	2.226553e-02	4.929938e-03	3.901840e-03
6.0922        	3.459648e-02	4.796259e-03	4.091459e-03
6.10239       	2.605345e-02	4.869949e-03	4.053458e-03
6.11259       	2.152933e-02	4.641010e-03	3.989916e-03
6.12278       	1.818736e-02	4.635820e-03	3.956378e-03
6.13298       	2.200273e-02	4.674791e-03	4.013508e-03
6.14317       	2.394285e-02	4.691999e-03	3.898678e-03
6.15337       	2.672531e-02	4.550559e-03	3.904405e-03
6.16356       	2.288597e-02	4.616412e-03	3.968371e-03
6.17376       	2.703537e-02	4.701293e-03	3.982078e-03
6.18395       	3.388427e-02	4.648733e-03	4.094453e-03
6.19415       	2.974358e-02	4.870208e-03	4.176463e-03
6.20434       	2.426028e-02	4.807420e-03	4.046991e-03
6.21454       	2.402012e-02	4.691843e-03	3.987309e-03
6.22511       	2.562384e-02	4.872734e-03	4.084773e-03
6.23568       	2.375669e-02	4.844329e-03	4.069982e-03
6.24626       	2.197882e-02	4.905936e-03	4.055629e-03
6.25683       	3.770691e-02	4.942303e-03	4.461930e-03
6.2674        	3.921016e-02	5.438490e-03	4.554890e-03
6.27797       	2.360751e-02	5.117118e-03	4.335286e-03
6.28855       	2.219035e-02	4.951274e-03	4.197305e-03
6.29912       	2.177271e-02	4.904109e-03	4.203837e-03
6.30969       	2.062895e-02	4.939492e-03	4.238606e-03
6.32027       	2.000703e-02	4.898254e-03	4.203854e-03
6.33084       	2.183966e-02	4.866414e-03	4.140858e-03
6.34141       	2.250061e-02	4.926958e-03	4.096641e-03
6.35198       	1.998761e-02	4.976518e-03	4.107364e-03
6.36256       	3.549127e-02	5.069719e-03	4.320388e-03
6.37313       	2.659785e-02	5.449410e-03	4.418909e-03
6.3837        	2.640343e-02	5.197402e-03	4.434166e-03
6.39427       	2.672438e-02	5.207417e-03	4.482594e-03
6.40485       	3.166353e-02	5.195428e-03	4.512705e-03
6.41542       	2.677637e-02	5.235904e-03	4.530165e-03
6.42599       	2.918183e-02	5.298586e-03	4.589282e-03
6.43656       	4.029084e-02	5.365493e-03	4.810084e-03
6.44714       	4.289597e-02	5.295761e-03	4.695633e-03
6.45771       	2.907505e-02	5.083800e-03	4.356983e-03
6.46828       	2.974064e-02	4.975092e-03	4.234286e-03
6.47885       	2.587619e-02	5.015897e-03	4.193644e-03
6.48943       	2.558246e-02	5.063114e-03	4.226399e-03
6.5           	2.516636e-02	5.149187e-03	4.291586e-03
6.51111       	2.949747e-02	5.486034e-03	4.601767e-03
6.52222       	2.642007e-02	5.445104e-03	4.595665e-03
6.5336        	2.296303e-02	5.491686e-03	4.605960e-03
6.54497       	2.625821e-02	5.423045e-03	4.613115e-03
6.55635       	3.254012e-02	5.447825e-03	4.694458e-03
6.56772       	3.894608e-02	5.483454e-03	5.032100e-03
6.57941       	3.820167e-02	5.525663e-03	5.196810e-03
6.59109       	2.894645e-02	5.332380e-03	5.091975e-03
6.60277       	2.447131e-02	5.364218e-03	5.012743e-03
6.61446       	2.434905e-02	5.337345e-03	4.914676e-03
6.62614       	2.434538e-02	5.244556e-03	4.792690e-03
6.63782       	2.515709e-02	5.169324e-03	4.666076e-03
6.64951       	2.310430e-02	5.159259e-03	4.554910e-03
6.66119       	2.554454e-02	5.148318e-03	4.550994e-03
6.67287       	3.149421e-02	5.184906e-03	4.584381e-03
6.68456       	3.299547e-02	5.136725e-03	4.634304e-03
