# Residuals   
# Time        	p             	Ux            	Uy            
5.99318       	1.774217e-03	1.454177e-04	1.190776e-04
5.99432       	1.730204e-03	1.450693e-04	1.186480e-04
5.99545       	1.716396e-03	1.442264e-04	1.183564e-04
5.99659       	1.602610e-03	1.436814e-04	1.182231e-04
5.99773       	1.584066e-03	1.434006e-04	1.181820e-04
5.99886       	1.610225e-03	1.430035e-04	1.179147e-04
6             	1.540140e-03	1.426259e-04	1.178342e-04
6.00114       	1.522636e-03	1.423096e-04	1.179038e-04
6.00227       	1.553793e-03	1.421925e-04	1.177394e-04
6.00341       	1.619587e-03	1.418212e-04	1.176658e-04
6.00455       	1.550028e-03	1.417374e-04	1.177890e-04
6.00568       	1.778389e-03	1.415972e-04	1.176441e-04
6.00682       	1.584146e-03	1.411103e-04	1.175761e-04
6.00795       	1.534444e-03	1.410358e-04	1.176813e-04
6.00909       	1.526786e-03	1.409471e-04	1.177035e-04
6.01023       	1.551017e-03	1.408048e-04	1.175966e-04
6.01136       	1.575328e-03	1.407081e-04	1.176138e-04
6.0125        	1.617340e-03	1.406091e-04	1.175978e-04
6.01364       	1.537672e-03	1.402930e-04	1.174592e-04
6.01477       	1.674157e-03	1.400815e-04	1.174782e-04
6.01591       	1.492972e-03	1.399585e-04	1.174511e-04
6.01705       	1.434691e-03	1.398958e-04	1.173745e-04
6.01818       	1.373429e-03	1.397694e-04	1.173114e-04
6.01932       	1.509401e-03	1.395869e-04	1.172801e-04
6.02045       	1.437208e-03	1.394416e-04	1.172596e-04
6.02159       	1.459147e-03	1.393048e-04	1.170729e-04
6.02273       	1.544217e-03	1.393099e-04	1.170104e-04
6.02386       	1.567550e-03	1.390827e-04	1.171020e-04
6.025         	1.547741e-03	1.390468e-04	1.169604e-04
6.02614       	1.373588e-03	1.389245e-04	1.167455e-04
6.02727       	1.480095e-03	1.388725e-04	1.166684e-04
6.02841       	1.429902e-03	1.386684e-04	1.165245e-04
6.02955       	1.490815e-03	1.384828e-04	1.165434e-04
6.03068       	1.465982e-03	1.382925e-04	1.163687e-04
6.03182       	1.512135e-03	1.382165e-04	1.162962e-04
6.03295       	1.555342e-03	1.381761e-04	1.163010e-04
6.03409       	1.480871e-03	1.380237e-04	1.162357e-04
6.03523       	1.480114e-03	1.379581e-04	1.161608e-04
6.03636       	1.565062e-03	1.379677e-04	1.161636e-04
6.0375        	1.589041e-03	1.380045e-04	1.163875e-04
6.03864       	1.468382e-03	1.379337e-04	1.163178e-04
6.03977       	1.463228e-03	1.377173e-04	1.162512e-04
6.04091       	1.456181e-03	1.376459e-04	1.161622e-04
6.04205       	1.471558e-03	1.375979e-04	1.160990e-04
6.04318       	1.538395e-03	1.377135e-04	1.159002e-04
6.04432       	1.482659e-03	1.376123e-04	1.158911e-04
6.04545       	1.513844e-03	1.376134e-04	1.157309e-04
6.04659       	1.589599e-03	1.373905e-04	1.155407e-04
6.04773       	1.567185e-03	1.373448e-04	1.153838e-04
