# Residuals   
# Time        	p             	Ux            	Uy            
46.197        	1.810423e-02	1.424344e-03	1.196813e-03
46.2068       	2.068458e-02	1.465701e-03	1.232637e-03
46.2166       	2.080018e-02	1.449097e-03	1.226636e-03
46.2263       	1.708559e-02	1.473062e-03	1.328978e-03
46.2361       	2.120559e-02	1.431797e-03	1.213292e-03
46.2459       	2.030864e-02	1.445964e-03	1.237028e-03
46.2561       	2.387294e-02	1.510149e-03	1.267268e-03
46.2662       	1.991572e-02	1.509615e-03	1.360658e-03
46.2764       	1.970205e-02	1.512841e-03	1.342341e-03
46.2866       	1.920310e-02	1.517902e-03	1.324841e-03
46.2967       	1.767381e-02	1.522260e-03	1.281575e-03
46.3069       	1.805739e-02	1.511923e-03	1.249281e-03
46.317        	2.174146e-02	1.507397e-03	1.261787e-03
46.3272       	2.151521e-02	1.508307e-03	1.257976e-03
46.338        	2.487613e-02	1.569118e-03	1.321506e-03
46.3488       	2.190417e-02	1.565591e-03	1.439473e-03
46.3596       	2.025204e-02	1.567262e-03	1.413774e-03
46.3704       	2.148162e-02	1.554460e-03	1.353298e-03
46.3812       	2.284908e-02	1.559571e-03	1.273285e-03
46.392        	1.943259e-02	1.545664e-03	1.288492e-03
46.4028       	2.058952e-02	1.526567e-03	1.226231e-03
46.4125       	3.284579e-02	1.378045e-03	1.203633e-03
46.4222       	2.719647e-02	1.425050e-03	1.523422e-03
46.432        	2.105924e-02	1.368432e-03	1.204077e-03
46.4417       	1.735892e-02	1.353885e-03	1.231594e-03
46.4514       	1.834726e-02	1.348065e-03	1.105080e-03
46.4611       	1.781625e-02	1.326737e-03	1.129725e-03
46.4708       	1.668340e-02	1.311305e-03	1.077082e-03
46.4806       	1.612593e-02	1.317715e-03	1.071016e-03
46.4903       	1.693051e-02	1.328197e-03	1.132853e-03
46.5          	1.765795e-02	1.320706e-03	1.131484e-03
46.5096       	1.843983e-02	1.312654e-03	1.151822e-03
46.5192       	1.714913e-02	1.316139e-03	1.172996e-03
46.5288       	1.832341e-02	1.318851e-03	1.162606e-03
46.5385       	1.882762e-02	1.328016e-03	1.199047e-03
46.5481       	1.661896e-02	1.348798e-03	1.133046e-03
46.5577       	1.797158e-02	1.352415e-03	1.127725e-03
46.5673       	2.149597e-02	1.348306e-03	1.099976e-03
46.5769       	1.805313e-02	1.308858e-03	1.092471e-03
46.5865       	1.655225e-02	1.314009e-03	1.061475e-03
46.5962       	1.799565e-02	1.331311e-03	1.069576e-03
46.6058       	1.564698e-02	1.321171e-03	1.059655e-03
46.6154       	1.564295e-02	1.329732e-03	1.083840e-03
